,Name,Club_Position,Height,Weight
491,Héctor Moreno,defensa,183,80
492,Cristian Ansaldi,defensa,181,76
493,Daniel Wass,central,181,74
495,Andrés Guardado,central,169,67
497,Ryan Bertrand,defensa,179,85
500,Yohan Cabaye,central,174,71
501,Vitaliy Denisov,defensa,178,75
502,Dušan Basta,defensa,183,72
503,Gustavo Cabral,defensa,182,81
504,Gabriel Paletta,defensa,190,80
507,Vedad Ibišević,ataque,188,82
508,Andreas Granqvist,defensa,192,84
511,Fernando Belluschi,central,173,78
515,James Milner,defensa,176,70
517,Daniel Baier,central,176,77
518,Atiba Hutchinson,central,187,83
519,Mehmet Topal,central,187,82
520,Bastian Schweinsteiger,central,183,79
522,Jérémy Toulalan,central,183,85
523,Phil Jagielka,defensa,183,83
529,Nélson Semedo,defensa,177,67
530,Florin Andone,ataque,182,78
531,Sergej Milinković-Savić,central,191,76
532,Omar Al Soma,ataque,192,72
534,Victor Nilsson Lindelöf,defensa,187,80
535,Naby Keïta,central,172,64
536,Tiémoué Bakayoko,central,184,72
537,Mahmoud Dahoud,central,177,69
540,Dani García,central,180,75
543,Andreas Christensen,defensa,188,78
544,Nabil Bentaleb,central,187,78
548,Gayà,defensa,172,64
549,Marco Benassi,central,184,80
550,Pedro Santos,ataque,173,65
551,Elseid Hysaj,defensa,182,70
553,Alessio Romagnoli,defensa,185,75
554,Piotr Zieliński,central,180,75
555,Bruno Peres,central,178,72
557,Óliver Torres,central,175,63
558,Filip Kostić,central,184,82
563,Maximilian Arnold,ataque,184,74
566,Edin Višća,central,172,63
568,Daniele Baselli,central,182,70
572,Eric Botteghin,defensa,193,89
573,John Stones,defensa,188,75
574,Jannik Vestergaard,defensa,199,98
575,Simone Zaza,ataque,186,83
577,Fernando,central,175,80
578,Memphis Depay,ataque,176,78
579,Jesé,central,178,72
580,Thomas Meunier,defensa,190,88
581,Eric Dier,defensa,188,90
582,Federico Fernández,defensa,190,83
585,Faouzi Ghoulam,defensa,188,80
587,Vladimír Darida,ataque,171,64
588,Cédric,defensa,172,67
594,Vicente Gómez,central,188,78
595,Emre Çolak,ataque,169,67
597,Dušan Tadić,ataque,181,76
599,Pablo Sarabia,central,174,70
600,Alex Oxlade-Chamberlain,central,175,70
601,Marco Höger,central,182,83
602,Florian Lejeune,defensa,190,81
604,Nicolás Lodeiro,central,170,69
606,Jeffrey Bruma,defensa,189,88
607,Willian José,ataque,186,89
609,Keko,central,172,68
611,Martin Braithwaite,ataque,177,77
612,Jaume Costa,defensa,171,62
613,Romain Hamouma,central,178,76
614,Escudero,defensa,176,72
615,Marcos Alonso,central,188,81
617,Osvaldo Alonso,central,180,75
618,Juraj Kucka,central,186,84
620,Illarramendi,central,179,76
621,Adem Ljajić,ataque,182,74
622,Eliaquim Mangala,defensa,187,84
624,Balenziaga,defensa,177,76
626,Sebastian Rudy,central,179,74
627,Jonathas,ataque,190,85
628,Aleksandar Dragović,defensa,186,79
629,Manuel Lanzini,ataque,170,66
630,Victor Wanyama,central,184,87
631,Alfred N'Diaye,central,187,82
634,Seydou Doumbia,ataque,179,77
636,Artem Dzyuba,ataque,196,91
638,Yann M'Vila,central,182,80
640,Mariano,defensa,177,69
641,Sofiane Feghouli,central,177,75
646,Maximiliano Pereira,defensa,173,73
647,Sidnei,defensa,186,82
648,William Vainqueur,central,179,73
649,Miguel Veloso,central,180,78
652,Fabian Johnson,central,183,74
654,Bryan Ruíz,central,188,78
655,Marcus Berg,ataque,184,74
656,Pontus Wernbloom,central,187,85
659,Valter Birsa,ataque,184,81
661,Marcano,defensa,187,77
664,Domenico Criscito,defensa,183,75
665,Castán,defensa,186,80
667,Diego Valeri,ataque,178,75
669,Jonny Evans,defensa,189,77
670,Danilo,defensa,185,75
672,Ştefan Radu,defensa,183,79
675,Llorente,ataque,195,90
676,Bafétimbi Gomis,ataque,184,77
680,Manuel Fernandes,ataque,176,75
682,Clint Dempsey,ataque,185,84
683,Michael Bradley,central,188,79
684,Yoann Gourcuff,ataque,185,79
685,Hilton,defensa,180,78
686,Pablo Batalla,ataque,170,68
687,Gaël Clichy,defensa,176,65
689,Luisão,defensa,193,92
690,Vasiliy Berezutskiy,defensa,189,87
691,Igor Denisov,central,176,70
694,Xabi Prieto,central,186,76
695,Javi Fuego,central,182,74
697,Lisandro López,ataque,174,74
699,Bruno Alves,defensa,189,81
702,Zoran Tošić,central,171,71
704,Kim Källström,central,185,83
710,Oyarzabal,ataque,181,78
711,André Silva,ataque,185,79
712,Soares,ataque,187,82
713,Nemanja Radoja,central,186,77
714,Marcos Acuña,central,172,77
715,Jorge Meré,defensa,182,77
718,Cheikh N'Doye,central,192,90
719,José Izquierdo,ataque,171,75
720,Gonzalo Escalante,central,182,75
721,Theo Bongonda,ataque,177,71
723,Morales,central,180,70
724,Wendell,defensa,176,68
725,Andrej Kramarić,ataque,177,73
726,Davide Zappacosta,defensa,182,70
727,Jemerson,defensa,184,77
728,Lucas Alario,ataque,178,67
729,Duván Zapata,ataque,189,88
732,Alex Telles,defensa,181,71
735,Paulo Oliveira,defensa,187,82
736,Rachid Ghezzal,ataque,182,65
740,Joël Veltman,defensa,182,73
741,Sead Kolašinac,defensa,183,85
742,Guido Pizarro,central,186,74
743,Michael Keane,defensa,188,82
745,Bigas,defensa,181,78
748,Carlos Sánchez,ataque,170,66
750,Takashi Inui,central,169,63
756,Konstantinos Fortounis,ataque,183,70
757,Joãozinho,ataque,166,61
759,Rodrigo Moledo,defensa,188,84
761,Salif Sané,defensa,196,85
762,Milan Badelj,central,186,76
764,Łukasz Teodorczyk,ataque,185,76
765,Nacer Chadli,central,187,80
