,Name,Club_Position,Height,Weight
6033,Fabio Lucioni,defensa,186,80
6036,Edwin Gyasi,central,185,76
6038,Dino Arslanagic,defensa,190,86
6042,Marcello Trotta,ataque,188,85
6043,Thomas Guerbert,central,172,70
6045,Jurgen Mattheij,defensa,188,78
6046,Valentín Viola,ataque,182,76
6047,Christopher Dibon,defensa,182,79
6053,Jiří Skalák,central,176,76
6054,Florian Hübner,defensa,193,84
6055,Derrick Williams,defensa,180,75
6056,Gustav Valsvik,defensa,195,93
6059,Thomas Monconduit,central,184,79
6062,Cristian Battocchio,central,169,64
6066,Adam Taggart,ataque,183,69
6071,Facundo Quignon,central,174,75
6072,Nicolai Næss,defensa,182,82
6073,Lee Seung Gi,ataque,177,67
6077,Daniel Johnson,central,174,67
6078,Gershon Koffie,central,183,70
6079,Pierre Sagna,defensa,183,76
6080,Salvatore D'Elia,defensa,183,76
6083,Ádám Pintér,central,190,84
6084,Cyrus Christie,defensa,188,78
6090,Maciej Makuszewski,central,176,70
6091,Gregor Breinburg,central,175,74
6092,Jason Lowe,central,178,80
6094,Marco Pérez,central,182,76
6099,Jonas Knudsen,central,185,72
6101,Jorge Teixeira,defensa,188,87
6104,César Soriano,defensa,179,73
6108,Juan Muñiz,central,178,74
6109,João Pereira,defensa,183,80
6110,Fredrik Oldrup Jensen,central,185,73
6112,Joe Corona,central,171,72
6115,Kenneth Zohore,ataque,194,96
6116,Luis Ángel Mendoza,central,172,75
6119,Jona,ataque,183,80
6121,Mads Hvilsom,ataque,188,85
6122,Jacques Zoua,ataque,186,84
6123,Gonzalo Castellani,central,179,76
6126,Andrés Túñez,defensa,187,83
6128,Steven Beitashour,central,178,73
6129,Leandro Marín,defensa,181,78
6131,Darryl Lachman,defensa,189,82
6133,Sam Morsy,central,175,76
6136,Angel Martínez,defensa,183,78
6137,Miquel,defensa,189,80
6139,Marlon Pack,central,188,74
6141,Yulián Anchico,central,182,75
6142,Cheick Doukouré,central,180,82
6146,Marko Milinković,ataque,179,72
6148,Dani Toribio,central,172,71
6150,Florent Hanin,defensa,177,65
6151,Jakob Ahlmann,defensa,179,70
6152,Izunna Arnest Uzochukwu,central,171,70
6153,Fredrik Ulvestad,central,183,79
6154,Michael Jacobs,ataque,175,74
6156,Peniel Mlapa,ataque,193,92
6157,Petar Skuletic,ataque,193,83
6160,André Santos,central,181,73
6168,Riad Nouri,central,178,73
6172,Kassim Abdallah,defensa,186,80
6174,Jordi Figueras,defensa,185,82
6175,Marc Mateu,central,180,71
6176,Tim Heubach,defensa,188,80
6177,Mohammed Abubakari,central,178,75
6178,Lee Novak,ataque,183,78
6179,Marco Stiepermann,central,190,86
6180,Ignacio Canuto,defensa,182,76
6182,Magno,ataque,174,74
6187,Unai Medina,defensa,177,78
6189,Harlee Dean,defensa,191,75
6190,A.J. DeLaGarza,defensa,175,68
6191,Markus Holgersson,defensa,190,79
6192,Ousmane Coulibaly,defensa,183,75
6193,Miguel Ángel Martínez,defensa,187,89
6196,Kristoffer Tokstad,ataque,185,84
6197,Joe Bennett,defensa,178,74
6198,John Brayford,defensa,173,71
6199,Chris Tierney,defensa,183,81
6200,Lamine Gassama,defensa,181,74
6201,Marcin Budziński,central,184,80
6202,Renan Foguinho,central,181,79
6203,Marley Watkins,central,178,65
6205,Alparslan Erdem,defensa,174,66
6209,Gianluca Litteri,ataque,186,82
6211,John Fleck,central,169,72
6212,Sebastian Eriksson,central,184,73
6213,Jørgen Skjelvik,defensa,183,77
6215,Rodrigo Salinas,defensa,180,78
6217,Pasquale Schiattarella,central,178,68
6218,Fábinho,defensa,170,68
6219,Manuel Iori,central,182,72
6220,Maurice Dalé,ataque,187,80
6221,Mustapha Yatabaré,central,186,70
6225,Júnior Díaz,defensa,185,76
6227,Pavel Golyshev,ataque,176,68
6228,Nikita Burmistrov,central,184,73
6229,Shin Hyung Min,central,182,77
6232,Seo Sang Min,central,178,71
6238,Christopher Nöthe,central,184,81
6239,Sean Franklin,defensa,178,73
6240,Elliott Bennett,central,179,73
6244,Matty James,central,178,73
6247,Demar Phillips,defensa,168,61
6252,Jean-Pascal Fontaine,central,177,73
6253,Kim Kwang Suk,defensa,183,73
6254,Sander Fischer,defensa,184,81
6255,Denis Tonucci,defensa,182,78
6256,Jan Lecjaks,defensa,185,81
6257,Christian Schneuwly,central,178,73
6261,Ryan Koolwijk,central,195,75
6262,Julien Faussurier,central,173,70
6265,Martyn Waghorn,ataque,176,83
6266,Arne Feick,defensa,179,78
6267,Jordy Buijs,defensa,182,80
6270,Johannes van den Bergh,central,183,76
6273,Chukwuma Akabueze,ataque,180,72
6274,Petar Zanev,defensa,180,70
6275,Brian Sarmiento,ataque,166,66
6276,Mitch Nichols,ataque,181,75
6279,Shaun Williams,central,185,80
6280,Johann Ramaré,central,180,74
6286,Iriome,central,185,79
6287,Bobby Burling,defensa,195,88
6288,Christian Brüls,central,179,74
6291,Jesper Juelsgård,defensa,182,76
6292,Søren Rieks,central,185,75
6296,Tommaso Bianchi,central,182,68
6299,Mateo Figoli,ataque,172,72
6300,Canella,defensa,180,73
6301,Arnaud Sutchuin-Djoum,ataque,182,78
6302,Dean Cox,central,163,69
6303,Ricardo Faty,central,192,82
6306,Ignacio González,defensa,184,84
6307,Magnus Lekven,central,177,75
6308,Danilo Soddimo,ataque,180,70
6310,Marco Rossi,defensa,188,78
6315,Jérôme Le Moigne,central,188,77
6316,Viktor Elm,defensa,191,84
6318,Yerson Opazo,central,171,73
6320,Marvin Emnes,ataque,180,66
6321,Javier Reina,ataque,173,70
6323,Choi Chul Soon,defensa,173,70
6324,Ha Dae Sung,central,182,73
6325,Jacek Kiełb,ataque,183,70
6328,Fernando Alexandre,central,183,80
6329,Hervé Kage,central,177,82
6330,Jørgen Horn,defensa,189,80
6331,Jérémy Choplin,defensa,183,83
6333,Patryk Małecki,central,170,73
6334,Artem Fidler,central,178,74
6336,Olmo,defensa,179,82
6341,Alexandre Bonnet,central,173,65
6343,Chris Lines,central,188,79
6346,Michael Lumb,defensa,180,79
6348,Ahmed Kantari,defensa,185,78
6354,Leobardo López,defensa,177,75
6356,Marcelo Alatorre,defensa,172,76
6357,Alfaro,ataque,175,73
6358,Christian Fernández,defensa,182,77
6359,Steve De Ridder,ataque,177,73
6361,Cisma,defensa,184,78
6365,Hernán Dellafiore,defensa,186,80
6368,Shaun Cummings,defensa,183,76
6369,Simon Dawkins,central,177,70
6370,Jarosław Fojut,defensa,188,83
6371,Rostyn Griffiths,central,187,86
6375,Ángel Reyna,ataque,168,65
6376,Ismaël Bangoura,ataque,174,75
6383,Oliver Fink,central,187,80
6387,David Wheater,defensa,196,87
6392,Craig Morgan,defensa,187,89
6393,Adam Le Fondre,ataque,175,73
6394,Andrew Crofts,central,175,73
6395,Tim Matthys,central,180,76
6396,Danny Graham,ataque,183,87
6397,Tom Van Hyfte,central,187,68
6398,Billy Sharp,ataque,175,70
6400,Andrew Davies,defensa,191,82
6403,Luca Pagliarulo,defensa,184,78
6408,Pablo Ledesma,central,178,79
6414,Yuji Nakazawa,defensa,187,78
6415,Juan Carlos Valenzuela,defensa,177,72
6417,Karim Haggui,defensa,190,86
6421,Steven De Petter,central,181,76
6422,Piotr Celeban,defensa,181,76
6423,Richard Stearman,defensa,191,76
6424,Adessoye Oyewole,defensa,188,83
6426,Cristian Nasuti,defensa,181,84
6427,Johnnie Jackson,central,185,81
6428,Johan Lædre Bjørdal,defensa,188,83
6429,Olivier Occéan,ataque,185,86
6430,Philipp Netzer,defensa,188,80
6431,Simon Busk Poulsen,defensa,184,76
6432,Johan Absalonsen,central,178,76
6434,Kari Arkivuo,defensa,177,72
6435,Kevin Doyle,ataque,183,81
6436,Paolo Sammarco,central,183,75
6440,Alexandr Dantsev,defensa,178,74
6447,Sebastián Domínguez,defensa,184,85
6451,Mariano González,central,175,80
6454,Mihael Mikić,central,177,68
6455,Mitsuo Ogasawara,central,173,72
6459,Glenn Loovens,defensa,190,74
6461,Craig Conway,central,176,67
6463,Fabián Vargas,central,177,72
6464,Clemente Rodríguez,defensa,167,65
6467,Arturo Alvarez,central,175,77
6471,Benjamin De Ceulaer,central,175,75
6476,Sébastien Roudet,ataque,174,71
6478,Edu Albacar,defensa,177,71
6479,Veroljub Salatić,central,186,86
6480,Christian Grindheim,central,179,74
6485,Anton Ferdinand,defensa,183,71
6487,Stefan Kulovits,central,177,70
6490,Mijat Marić,defensa,188,83
6491,Chris Brunt,defensa,187,85
6492,Bruno Grougi,central,173,70
6496,Andrea Caracciolo,ataque,194,80
6497,Christian Tiffert,central,183,80
6499,Ryan Taylor,central,178,70
6500,Arkadiusz Głowacki,defensa,186,78
6504,David Vaughan,central,168,70
6506,Luis García,central,177,69
6507,Volodymyr Kostevych,defensa,174,66
6508,José Leguizamón,defensa,180,78
6510,Antonio Mlinar Delamea,defensa,183,73
6511,Erwan Quintin,central,180,76
6513,Heitor Mutto,ataque,180,75
6518,Giorgi Kvilitaia,ataque,193,82
6519,Julio Angulo,ataque,180,78
6523,Silvère Ganvoula,ataque,191,81
6524,Joel,defensa,180,72
6527,Jean Thierry Lazare Amani,central,172,66
6529,Yan Brice Eteki,central,173,65
6533,Vladimir Poluyakhtov,defensa,180,78
6535,Giuliano Modica,defensa,184,80
6536,Steve Breitkreuz,defensa,188,87
6537,Eric Ocansey,defensa,173,66
6538,Davide Eustáquio,ataque,178,72
6541,Óscar Sendinho,central,178,74
6543,Vágner Norteiro,defensa,166,62
6544,Ronaldo Vieira,central,177,74
6547,Nicolás Leguizamón,ataque,180,75
6548,Song Si Woo,central,175,71
6555,Denzel Dumfries,defensa,189,80
6556,Takuya Iwanami,defensa,186,72
6557,Shoma Doi,central,172,63
6558,Keigo Higashi,ataque,178,72
6560,Yohei Toyoda,ataque,185,79
6561,Shinnosuke Nakatani,defensa,184,79
6567,Shingo Tomita,central,169,64
6569,Tomoya Ugajin,ataque,172,71
6570,Enrique Soto,central,162,60
6571,Bismark,central,170,78
6575,Diego Fabián Torres,ataque,174,70
6576,Kosuke Ota,defensa,179,78
6577,Justin Hoogma,defensa,186,74
6580,José Arnáiz,ataque,180,75
6583,João Nunes,defensa,188,80
6589,Matheus Índio,ataque,170,70
6592,Franci Martinho,ataque,191,93
6593,Adão Salvadaldo,ataque,174,69
6595,Lucas Medeirão,ataque,179,74
6596,Hedson Porfírio,ataque,178,74
6597,Claudiosa Paes,central,177,74
6598,Helito Caldeira,defensa,188,82
6600,Leyvin Balanta,central,186,78
6602,Cris Laranjeiros,ataque,175,72
6603,Adão Morrinhos,ataque,177,73
6604,Jadson Castrelo,central,186,81
6618,Miramón,ataque,176,74
6619,Ariajasuru Hasegawa,central,186,78
6620,Néstor,ataque,187,80
6623,Kévin Hoggas,ataque,183,73
6624,Pascal Köpke,ataque,178,75
6626,Patrick Eze,ataque,186,78
6639,Lucas Venuto,central,164,60
6640,Jeong Seung Hyeon,defensa,189,85
6641,Kerim Mrabti,central,175,75
6646,Aminou Bouba,defensa,193,85
6647,Cristian Roldan,central,173,75
6650,Franco Canever,defensa,175,68
6651,Hidde ter Avest,defensa,181,76
6654,Nordi Mukiele,defensa,186,78
6657,Nicola Citro,ataque,172,60
6658,Igor Bezdenezhnykh,central,175,65
6660,Branco Ampuero,defensa,182,82
6661,Konrad Laimer,central,179,68
6662,Volkan Fındıklı,central,191,84
6664,Khaled Narey,central,180,75
6665,Pelle van Amersfoort,central,193,77
6668,Miroslav Čovilo,central,193,93
6671,Miguel Cardoso,ataque,176,74
6672,Marcos Curado,defensa,187,80
6674,Jorge Rodríguez,defensa,187,84
6675,Nery Leyes,central,181,78
6678,Ryan Kent,central,172,65
6679,Hendrick Ekstein,ataque,174,65
6680,Haris Belkebla,central,177,68
6682,Andrés Vilches,ataque,180,80
6686,Paulo Ricardo,defensa,186,80
6687,Joachim Andersen,defensa,190,89
6691,Mateusz Szwoch,ataque,179,69
6693,Nabil Aankour,ataque,172,70
6697,Andy Polo,central,174,71
6698,Ruben Aguilar,defensa,172,71
6700,Alexandr Sukhov,central,174,71
6702,Alliou Dembele,central,168,65
6704,Marcelo Benítez,defensa,183,81
6705,Gonzalo Bettini,defensa,171,74
6707,Orhan Ovacıklı,defensa,179,71
6708,Francisco Rodríguez,central,176,77
6711,Caner Osmanpaşa,defensa,182,77
6712,Louis Nganioni,defensa,177,77
6713,Uğur Çiftçi,defensa,179,72
6715,Erhun Oztumer,ataque,160,60
6716,Jérôme Hergault,defensa,185,80
6723,Ivi,central,174,74
6724,Fabián Viáfara,central,167,65
6725,Joseph Minala,central,184,84
6727,Luca Valzania,central,184,77
6729,Yonathan Cabral,defensa,188,93
6730,Niko Datković,defensa,190,86
6731,Son Jun Ho,central,178,73
6732,Adam Armstrong,ataque,172,69
6733,Marcel Sobottka,central,185,75
6736,Wilfried Kanon,defensa,188,85
6737,Patrick Mullins,ataque,185,78
6739,Dudú,ataque,180,75
6749,Jordan Hugill,ataque,184,64
6752,Jan Bednarek,defensa,189,77
6753,Gastón Campi,defensa,193,87
6755,Isaac Carcelén,defensa,178,75
6757,Modou Diagne,defensa,188,75
6758,Salih Dursun,defensa,188,79
6759,César Falletti,ataque,170,65
6768,Cristian López,ataque,185,80
6771,Gilbert Koomson,central,178,76
6774,Filippo De Col,defensa,184,83
6776,Brayan Beckeles,defensa,186,80
6777,Ramiro Carrera,central,182,72
6778,Raúl Becerra,ataque,187,82
6779,Mauricio Gómez,ataque,186,72
6781,Francisco Córdoba,defensa,171,75
6782,Dzhamaldin Khodzhaniyazov,defensa,185,79
6786,Uvaldo Luna,ataque,176,67
6790,Leonardo Sánchez,defensa,190,85
6793,Robinson Aponzá,ataque,175,75
6795,Luciano Vázquez,ataque,181,81
6796,Boris Sagredo,ataque,165,63
6799,Mohamed Fatau,central,178,75
6802,Pieter Gerkens,central,180,66
6803,Aleksandar Miljković,central,184,76
6804,Florian Ballas,defensa,196,94
6806,Leonardo Gil,central,171,70
6807,Diego Díaz,defensa,179,73
6808,Xandro Schenk,defensa,188,79
6809,Rasmus Festersen,ataque,177,76
6810,Lucas Bijker,defensa,175,74
6811,Maikel Mesa,central,183,72
6812,Jakub Wójcicki,defensa,190,80
6813,Alberto,central,186,78
6816,Martín Luque,central,176,65
6817,François Marquet,central,175,69
6818,Fernando Telechea,ataque,180,79
6819,Matías Fissore,central,165,63
6820,Alan Alegre,defensa,182,80
6823,Erik Godoy,defensa,184,79
6825,Guillermo Ortíz,defensa,183,80
6826,Francisco Mattia,defensa,190,77
6831,Marcelo Herrera,defensa,185,78
6836,Jorge Ampuero,defensa,183,82
6838,Jhon Freddy Pajoy,central,175,72
6840,Lewis Ochoa,defensa,174,70
6841,Jason Silva,ataque,174,72
6843,Paulo Cezar Magalhães,defensa,177,74
6845,Héctor Urrego,defensa,183,77
6849,Juan Daniel Roa,central,172,67
6851,Benjamin Bourigeaud,central,177,66
6852,Tim Kleindienst,ataque,194,83
6858,João Meira,defensa,185,78
6860,Ben Pearson,central,176,71
6863,Puertas,central,178,74
6865,Jonathan Osorio,central,175,73
6870,Gonçalo Silva,defensa,185,80
6871,Rúnar Már Sigurjónsson,central,178,84
6876,Nahuel Zárate,defensa,180,73
6878,Taylor Kemp,defensa,180,69
6881,Claudio Pérez,defensa,187,84
6883,Jason Geria,defensa,184,75
6885,Danny Bakker,central,178,70
6886,Fernando Ferreira,central,184,79
6888,Eduardo,central,178,73
6894,Jonathan Bijimine,defensa,190,84
6897,Philip Heise,defensa,184,78
6899,Tom Schütz,central,181,75
6904,Jackson Irvine,central,189,70
6909,Claudio Corvalán,defensa,179,78
6911,Pinillos,defensa,182,74
6912,Biagio Meccariello,defensa,187,85
6913,Bradley Dack,ataque,175,71
6914,Dario Del Fabro,defensa,180,75
6918,Marco Fossati,central,180,73
6919,Ibrahim Moro,central,179,78
6922,Luis Felipe Gallegos,central,173,73
6926,Anders Trondsen,central,183,78
6928,Willyan,ataque,169,62
6929,Anatole Ngamukol,ataque,178,70
6934,Lucas Wílchez,ataque,173,65
6935,Bruno Godeau,defensa,190,78
6936,Daniel Buballa,defensa,187,80
6938,Derik,central,183,74
6940,André Fomitschow,central,181,75
6944,Jonathan Buatu Mananga,defensa,187,87
6949,Hamdan Al Hamdan,central,178,61
6950,Badr Al Nakly,defensa,179,69
6952,Queensy Menig,central,174,69
6957,Mokhtar Falatah,ataque,179,64
6961,Andreas Hofmann,central,183,76
6962,Hjörtur Hermannsson,defensa,189,81
6964,Pelayo,ataque,184,80
6965,Josecarlos Van Rankin,defensa,179,70
6967,Željko Filipović,central,194,80
6968,Magnus Eriksson,central,179,82
6969,Ryan Sanusi,central,181,76
6972,Maxim Belyaev,defensa,188,86
6975,Michael Frey,ataque,188,86
6983,Elia Soriano,ataque,185,82
6985,Loret Sadiku,central,185,70
6987,John Lozano,defensa,183,77
6988,Hernán Pertuz,defensa,183,78
6990,Sebastian Andersson,ataque,190,85
6991,Shim Dong Woon,ataque,169,69
6992,Ruben Kristiansen,defensa,183,74
6998,Tristan Dingomé,central,174,69
6999,Vyacheslav Podberezkin,ataque,187,76
7000,Jeremy Dudziak,defensa,176,70
7001,Marvin Baudry,defensa,187,85
7002,Anton Shynder,ataque,190,90
7003,Roman Buess,ataque,184,76
7007,Stefano Sabelli,defensa,180,74
7008,Tokelo Rantie,ataque,172,68
7009,Serdar Dursun,ataque,190,83
7013,Pavel Nekhaychik,central,180,70
7017,Spas Delev,central,170,68
7022,Clemens Schoppenhauer,defensa,185,77
7023,Ryan Fredericks,defensa,173,71
7024,Ahmed Akaichi,ataque,185,80
7026,Sebastian Maier,ataque,179,68
7030,Tom Beugelsdijk,defensa,192,79
7032,Rohan Ince,central,191,80
7042,Góngora,defensa,185,74
7044,Ouasim Bouy,defensa,181,79
7045,Robert Hall,central,173,66
7046,Tyler Blackett,defensa,188,87
7047,Gutti,defensa,187,83
7049,Josh Vela,central,185,70
7052,Nicholas Yennaris,central,170,70
7055,Aslan Dudiev,central,181,71
7056,Kristoffer Larsen,central,184,76
7061,Kim Ho Nam,central,178,72
7062,C.J. Sapong,ataque,185,84
7069,Erdin Demir,defensa,178,72
7071,Michele Camporese,defensa,187,78
7072,Diego Fagundez,central,173,57
7076,Mehdi Terki,central,185,75
7077,Jarchinio Antonia,ataque,169,63
7078,Mads Agesen,defensa,190,81
7080,Campabadal,defensa,178,77
7084,Nicklas Helenius,ataque,196,88
7086,Álex Pérez,defensa,191,86
7088,Rafał Janicki,defensa,188,83
7091,Christoph Hemlein,central,181,79
7094,Loris Néry,defensa,174,73
7095,John Lundstram,central,181,74
7100,Jonathan Rivierez,defensa,182,82
7101,Gordan Bunoza,defensa,195,91
7103,Zakaria Diallo,defensa,194,88
7107,Kamil Drygas,ataque,184,72
7109,Fran Vélez,central,175,75
7111,Yvan Erichot,defensa,190,83
7113,Provencio,central,178,75
7115,Erick Torres,ataque,183,81
7116,Ilie Sánchez,central,180,77
7117,Damiano Zanon,defensa,177,73
7119,Dušan Cvetinović,defensa,186,81
7121,Yoann Court,central,172,70
7124,Jandson,ataque,190,88
7125,Laurens Paulussen,defensa,174,70
7130,Jerónimo Amione,ataque,173,77
7134,Saliou Ciss,central,175,70
7136,Tom Bradshaw,ataque,178,71
7138,Ivan Franjic,defensa,180,77
7139,Aguilera,central,185,76
7140,Jon Taylor,central,168,77
7142,Dedryck Boyata,defensa,188,84
7146,Jake Bidwell,central,183,70
7148,Marcel Titsch-Rivero,central,182,76
7149,Roberto Cereceda,defensa,175,68
7150,James Tavernier,defensa,182,75
7156,Alexey Nikitin,defensa,187,87
7158,Antonio Mazzotta,central,183,73
7159,Alan Chochiev,central,180,70
7160,Jukka Raitala,central,181,76
7161,Lakdar Boussaha,ataque,175,72
7162,Veysel Sarı,defensa,184,78
7166,Sam Clucas,central,188,74
7170,Edu Ramos,central,177,67
7171,Niklas Backman,defensa,186,80
7175,Martin Nešpor,ataque,184,74
7177,Guus Hupperts,central,176,75
7179,Philipp Klingmann,defensa,180,83
7184,Víctor Pérez,central,178,69
7187,Ross Draper,central,196,87
7188,Nicolaj Madsen,central,188,83
7193,Dani Schahin,ataque,187,82
7194,Cristian Tănase,central,179,78
7200,Graham Carey,ataque,183,71
7202,Viktor Lundberg,ataque,187,79
7203,Pedro Queirós,defensa,180,73
7206,Kim Sung Joon,central,174,68
7209,Federico Mancinelli,defensa,181,80
7211,Ahmed Mohammed Al Fraidi,ataque,175,74
7212,Davide Petrucci,central,184,76
7222,Marvin Pourié,ataque,185,86
7226,Rodney Wallace,ataque,182,75
7229,Björn Daniel Sverrisson,central,182,75
7235,Mame Ousmane Cissokho,central,175,68
7240,Luke Murphy,central,185,74
7241,Darko Bodul,ataque,186,81
7243,Kevin Conboy,defensa,185,77
7245,Rajiv van La Parra,central,181,72
7248,Bruno Perone,defensa,191,85
7250,Alessandro Tuia,defensa,184,74
7254,Sandro Manoel,central,176,70
7255,Krzysztof Janus,central,176,70
7261,Lee Yun Pyo,defensa,184,79
7263,Danny Swanson,central,168,59
7267,Tim Breukers,central,178,76
7270,Vladimir Koman,ataque,173,67
7272,Idir Ouali,central,176,69
7274,David Hubert,central,184,79
7278,Ľubomír Guldan,defensa,182,83
7279,Luigi Giorgi,central,186,75
7282,Chris Basham,defensa,181,80
7285,Donny Gorter,central,175,70
7286,Michael Zullo,defensa,170,63
7291,Thomas Ayasse,central,183,75
7292,Guilherme Finkler,ataque,184,79
7295,Kieran Agard,ataque,173,67
7296,Rafał Grzyb,central,175,75
7298,Erling Knudtzon,ataque,178,72
7299,Luis Miguel Noriega,central,172,73
7302,Túlio,defensa,185,85
7303,Hiroyuki Taniguchi,defensa,182,73
7305,Matt McKay,central,171,65
7306,Piotr Grzelczak,central,186,82
7307,Nils Schouterden,central,176,75
7310,Ari Skúlason,defensa,170,65
7312,José San Román,defensa,172,70
7317,Tommy Rowe,central,180,81
7319,Scott Jamieson,defensa,177,71
7321,Danny Holla,central,178,74
7322,Antonio Piccolo,ataque,180,68
7323,Andrea Cocco,ataque,182,75
7326,Michael Orozco,defensa,180,75
7327,Kim André Madsen,defensa,184,74
7329,Greg Tansey,central,185,86
7330,Laurent Agouazi,central,184,75
7331,Jon Erice,central,177,72
7333,Bernd Nehrig,central,180,79
7335,Gary Roberts,ataque,178,74
7338,Romain Vincelot,central,177,71
7342,Brwa Nouri,central,177,70
7347,Lee Sang Ho,central,173,65
7351,Jonathan Bornstein,defensa,175,73
7354,Maynor Figueroa,defensa,181,85
7356,Michael Bostwick,defensa,193,89
7357,Mark Reynolds,defensa,180,68
7358,Kyle McFadzean,defensa,185,85
7359,Paul Caddis,central,170,67
7360,Paul McGowan,central,170,65
7364,Dragan Mrđja,ataque,187,79
7365,James Meredith,defensa,185,74
7368,Toumani Diagouraga,central,188,72
7371,Luigi Bruins,central,178,73
7372,Ritchie Kitoko,defensa,177,71
7381,Jonathan Parr,ataque,182,75
7382,Robert Maah,ataque,180,72
7383,Mohamed Koffi,central,172,74
7385,Eloge Enza-Yamissi,central,175,70
7387,Markus Neumayr,central,171,77
7392,Patricio Araujo,central,176,78
7393,Fredrik Nordkvelle,central,180,79
7395,Choi Hyo Jin,central,172,70
7396,Oh Jang Eun,central,175,73
7398,Cho Yong Hyung,defensa,182,72
7399,Łukasz Janoszka,central,181,79
7408,Steven Anderson,defensa,180,72
7409,Lee Frecklington,central,180,75
7411,Darren O'Dea,defensa,185,82
7413,Andrew Taylor,central,178,69
7415,Scott Cuthbert,defensa,188,89
7416,Michael Jakobsen,defensa,185,81
7418,Luke Chambers,defensa,185,87
7423,Luis Robles,central,170,70
7424,Sergey Kornilenko,ataque,186,90
7426,Daniel Fox,defensa,180,78
7427,Alexis Castro,central,182,73
7430,Mišo Brečko,defensa,178,70
7432,Alex Brosque,ataque,182,72
7433,Mario Sonnleitner,defensa,182,82
7435,Nico Pulzetti,central,176,70
7436,Luca Ceccarelli,defensa,185,77
7438,Neri Cardozo,central,173,69
7439,Manu,defensa,176,70
7444,Ansotegi,defensa,192,84
7446,Martin Ørnskov,central,185,82
7448,Kenneth Emil Petersen,defensa,187,80
7449,Danny Olsen,central,186,80
7453,Felipe Saad,defensa,187,83
7454,Koen Persoons,central,179,75
7458,Carl Valeri,central,177,71
7460,Sander Duits,central,183,78
7461,Ruben Schaken,ataque,172,74
7462,André Danielsen,defensa,173,70
7463,Henning Hauger,central,179,77
7464,Pavel Alikin,defensa,185,79
7465,Dmitriy Andreev,defensa,188,84
7466,Jaime Gavilán,central,178,75
7469,Raúl Cámara,defensa,170,64
7476,Kerim Zengin,defensa,177,78
7478,Mauricio Romero,defensa,184,80
7480,Pablo Lugüercio,ataque,177,79
7481,Marcos Gelabert,central,180,76
7485,Steven MacLean,ataque,180,79
7486,David Toledo,central,167,65
7491,Miguel Caneo,central,182,72
7492,Kasper Risgård,central,182,79
7495,Arnold Kruiswijk,defensa,182,73
7496,Ricardo Clark,central,178,73
7506,Dorado,defensa,180,70
7508,Mickaël Tacalfred,defensa,175,69
7509,Paweł Brożek,ataque,180,79
7510,Daniel Braaten,ataque,184,88
7511,Stephen Warnock,central,178,75
7512,Matt Taylor,central,178,73
7515,Bjørn Helge Riise,central,175,72
7517,Kenny Miller,ataque,178,71
7518,Morten Morisbak Skjønsberg,defensa,183,81
7520,Kris Boyd,ataque,185,83
7522,Gaël Danic,central,176,65
7524,Patrick Mtiliga,defensa,172,73
7540,Nicolás Ibáñez,central,179,68
7542,Claudio Silbeiro,ataque,182,75
7545,Fran Beltrán,central,170,64
7546,Marwane Saadane,central,187,75
7547,Răzvan Marin,central,175,70
7549,Nicolás Milesi,central,183,75
7550,Kévin Fortuné,ataque,182,80
7552,Djamel Eddine Benlamri,defensa,185,83
7557,Issam Jebali,ataque,186,84
7558,Luca Mora,central,183,79
7564,Aleksandar Sedlar,defensa,178,79
7569,Jonathan Ikoné,central,175,67
7570,Oualid El Hajjam,defensa,181,73
7573,Simon Skarlatidis,central,171,71
7576,Barnabás Bese,defensa,188,84
7579,Jonaldo Santoso,ataque,186,80
7582,Victor Bereitta,defensa,178,71
7585,Riccardo Orsolini,ataque,183,75
7586,Jang Ho Ik,defensa,173,68
7587,Rasmus Nissen Kristensen,defensa,176,70
7590,Tatsuki Nara,defensa,180,77
7591,Vladislavs Gutkovskis,ataque,181,76
7592,Kaoru Takayama,ataque,174,67
7595,Rick van Drongelen,defensa,188,81
7597,Hiroki Kawano,central,168,65
7600,Daichi Kamada,ataque,180,72
7603,Hiroyuki Abe,central,170,69
7604,Kim Jungya,defensa,183,74
7605,Naoki Wako,defensa,171,65
7606,Walter Andrade,defensa,188,86
7608,Artem Putivtsev,defensa,189,85
7611,Ryota Morioka,ataque,180,70
7615,Fabian Herbers,central,183,75
7616,Vasyl Pryyma,defensa,185,81
7617,Masato Kudo,ataque,177,74
7625,Tommy Thelin,central,181,77
7629,Martin Spelmann,central,175,72
7631,Rey Manaj,ataque,182,76
7632,Jean Patrick,defensa,172,72
7636,Marcundo Rochela,ataque,187,81
7637,Jose Emeirson,ataque,175,70
7639,Pedrildo Rocha,ataque,181,75
7642,Nazario Serpe,central,178,77
7644,Oswaldinato,central,185,81
7645,Arturo Inálcio,central,184,76
7646,Mauriçio Clerez,defensa,189,81
7647,Weilson Leal,defensa,182,78
7649,Ataúlfo Anjos,defensa,186,76
7650,Silaldo Taffarel,defensa,176,75
7657,Vincente Dourado,ataque,180,75
7658,Guto Costinho,ataque,178,72
7659,Antonaldinho,ataque,177,72
7660,Nuno Cedrim,ataque,181,78
7661,Leo Vimieiro,central,177,78
7662,Paolinho Leima,defensa,187,77
7663,Kauã Zanson,defensa,179,72
7664,Eder Pinhanços,defensa,178,75
7665,Nosberto Vila,defensa,176,75
7670,Jeroen van der Lely,defensa,176,73
